Bnccexp,Calculation1,Category,Date
45.0736,Expectations Index,British Columbia,6/30/2008
46.5186,Expectations Index,British Columbia,9/30/2008
29.9213,Expectations Index,British Columbia,12/31/2008
32.5274,Expectations Index,British Columbia,3/31/2009
50.2458,Expectations Index,British Columbia,6/30/2009
63.7577,Expectations Index,British Columbia,9/30/2009
69.4448,Expectations Index,British Columbia,12/31/2009
68.369,Expectations Index,British Columbia,3/31/2010
64.1209,Expectations Index,British Columbia,6/30/2010
56.4416,Expectations Index,British Columbia,9/30/2010
57.4018,Expectations Index,British Columbia,12/31/2010
59.6654,Expectations Index,British Columbia,3/31/2011
57.5509,Expectations Index,British Columbia,6/30/2011
45.0138,Expectations Index,British Columbia,9/30/2011
50.911,Expectations Index,British Columbia,12/31/2011
57.6192,Expectations Index,British Columbia,2/28/2012
54.295,Expectations Index,British Columbia,3/31/2012
58.0442,Expectations Index,British Columbia,4/30/2012
60.6312,Expectations Index,British Columbia,5/31/2012
49.1229,Expectations Index,British Columbia,6/30/2012
49.769,Expectations Index,British Columbia,7/31/2012
49.1895,Expectations Index,British Columbia,8/31/2012
50.3086,Expectations Index,British Columbia,9/30/2012
49.1724,Expectations Index,British Columbia,10/31/2012
53.1279,Expectations Index,British Columbia,11/30/2012
49.8261,Expectations Index,British Columbia,12/31/2012
49.6599,Expectations Index,British Columbia,1/31/2013
51.0365,Expectations Index,British Columbia,2/28/2013
45.096,Expectations Index,British Columbia,3/31/2013
41.0013,Expectations Index,British Columbia,4/30/2013
59.0624,Expectations Index,British Columbia,5/24/2013
59.5375,Expectations Index,British Columbia,5/31/2013
58.5427,Expectations Index,British Columbia,6/7/2013
57.1,Expectations Index,British Columbia,6/14/2013
56.1874,Expectations Index,British Columbia,6/21/2013
54.8265,Expectations Index,British Columbia,6/28/2013
62.0669,Expectations Index,British Columbia,7/5/2013
55.0326,Expectations Index,British Columbia,7/12/2013
55.0702,Expectations Index,British Columbia,7/19/2013
57.4928,Expectations Index,British Columbia,7/26/2013
59.0425,Expectations Index,British Columbia,8/2/2013
59.1967,Expectations Index,British Columbia,8/9/2013
56.4272,Expectations Index,British Columbia,8/16/2013
51.7857,Expectations Index,British Columbia,8/23/2013
50.3382,Expectations Index,British Columbia,8/30/2013
49.6891,Expectations Index,British Columbia,9/6/2013
54.4863,Expectations Index,British Columbia,9/13/2013
58.1155,Expectations Index,British Columbia,9/20/2013
58.2538,Expectations Index,British Columbia,9/27/2013
57.3674,Expectations Index,British Columbia,10/4/2013
53.5267,Expectations Index,British Columbia,10/11/2013
54.3783,Expectations Index,British Columbia,10/18/2013
54.2701,Expectations Index,British Columbia,10/25/2013
54.5782,Expectations Index,British Columbia,11/1/2013
53.1216,Expectations Index,British Columbia,11/8/2013
54.8092,Expectations Index,British Columbia,11/15/2013
56.26,Expectations Index,British Columbia,11/22/2013
56.6335,Expectations Index,British Columbia,11/29/2013
60.3134,Expectations Index,British Columbia,12/6/2013
59.2054,Expectations Index,British Columbia,12/13/2013
60.1731,Expectations Index,British Columbia,12/20/2013
61.9105,Expectations Index,British Columbia,12/27/2013
59.799,Expectations Index,British Columbia,1/3/2014
60.2827,Expectations Index,British Columbia,1/10/2014
58.4049,Expectations Index,British Columbia,1/17/2014
54.0325,Expectations Index,British Columbia,1/24/2014
53.1263,Expectations Index,British Columbia,1/31/2014
49.8727,Expectations Index,British Columbia,2/7/2014
50.726,Expectations Index,British Columbia,2/14/2014
56.0317,Expectations Index,British Columbia,2/21/2014
57.2936,Expectations Index,British Columbia,2/28/2014
56.4275,Expectations Index,British Columbia,3/7/2014
56.0955,Expectations Index,British Columbia,3/14/2014
54.8078,Expectations Index,British Columbia,3/21/2014
55.794,Expectations Index,British Columbia,3/28/2014
59.1869,Expectations Index,British Columbia,4/4/2014
59.4743,Expectations Index,British Columbia,4/11/2014
60.0976,Expectations Index,British Columbia,4/18/2014
59.5651,Expectations Index,British Columbia,4/25/2014
58.4379,Expectations Index,British Columbia,5/2/2014
61.3034,Expectations Index,British Columbia,5/9/2014
61.721,Expectations Index,British Columbia,5/16/2014
63.1516,Expectations Index,British Columbia,5/23/2014
63.3193,Expectations Index,British Columbia,5/30/2014
59.0517,Expectations Index,British Columbia,6/6/2014
57.0439,Expectations Index,British Columbia,6/13/2014
56.1361,Expectations Index,British Columbia,6/20/2014
56.5514,Expectations Index,British Columbia,6/27/2014
58.3611,Expectations Index,British Columbia,7/4/2014
58.135,Expectations Index,British Columbia,7/11/2014
58.9182,Expectations Index,British Columbia,7/18/2014
57.7068,Expectations Index,British Columbia,7/25/2014
58.1405,Expectations Index,British Columbia,8/1/2014
58.1057,Expectations Index,British Columbia,8/8/2014
56.9004,Expectations Index,British Columbia,8/15/2014
57.6523,Expectations Index,British Columbia,8/22/2014
57.1076,Expectations Index,British Columbia,8/29/2014
57.5867,Expectations Index,British Columbia,9/5/2014
58.1878,Expectations Index,British Columbia,9/12/2014
59.643,Expectations Index,British Columbia,9/19/2014
59.6882,Expectations Index,British Columbia,9/26/2014
59.9975,Expectations Index,British Columbia,10/3/2014
59.6254,Expectations Index,British Columbia,10/10/2014
58.7046,Expectations Index,British Columbia,10/17/2014
59.0067,Expectations Index,British Columbia,10/24/2014
57.1302,Expectations Index,British Columbia,10/31/2014
56.0864,Expectations Index,British Columbia,11/7/2014
56.4841,Expectations Index,British Columbia,11/14/2014
55.1844,Expectations Index,British Columbia,11/21/2014
58.2348,Expectations Index,British Columbia,11/28/2014
57.1667,Expectations Index,British Columbia,12/5/2014
57.6706,Expectations Index,British Columbia,12/12/2014
58.1937,Expectations Index,British Columbia,12/19/2014
55.3287,Expectations Index,British Columbia,12/26/2014
56.3733,Expectations Index,British Columbia,1/2/2015
54.5211,Expectations Index,British Columbia,1/9/2015
55.1216,Expectations Index,British Columbia,1/16/2015
53.6432,Expectations Index,British Columbia,1/23/2015
51.8137,Expectations Index,British Columbia,1/30/2015
50.1041,Expectations Index,British Columbia,2/6/2015
49.0767,Expectations Index,British Columbia,2/13/2015
48.7777,Expectations Index,British Columbia,2/20/2015
49.0806,Expectations Index,British Columbia,2/27/2015
47.8898,Expectations Index,British Columbia,3/6/2015
49.6929,Expectations Index,British Columbia,3/13/2015
55.0457,Expectations Index,British Columbia,3/20/2015
57.7637,Expectations Index,British Columbia,3/27/2015
60.7905,Expectations Index,British Columbia,4/3/2015
60.7348,Expectations Index,British Columbia,4/10/2015
57.5361,Expectations Index,British Columbia,4/17/2015
56.6269,Expectations Index,British Columbia,4/24/2015
58.2266,Expectations Index,British Columbia,5/1/2015
57.6314,Expectations Index,British Columbia,5/8/2015
58.0356,Expectations Index,British Columbia,5/15/2015
60.5529,Expectations Index,British Columbia,5/22/2015
59.7411,Expectations Index,British Columbia,5/29/2015
57.5655,Expectations Index,British Columbia,6/5/2015
58.184,Expectations Index,British Columbia,6/12/2015
57.0695,Expectations Index,British Columbia,6/19/2015
57.2894,Expectations Index,British Columbia,6/26/2015
60.5258,Expectations Index,British Columbia,7/3/2015
60.2688,Expectations Index,British Columbia,7/10/2015
58.7823,Expectations Index,British Columbia,7/17/2015
56.4884,Expectations Index,British Columbia,7/24/2015
54.0257,Expectations Index,British Columbia,7/31/2015
50.8039,Expectations Index,British Columbia,8/7/2015
50.2689,Expectations Index,British Columbia,8/14/2015
52.1786,Expectations Index,British Columbia,8/21/2015
51.8689,Expectations Index,British Columbia,8/28/2015
53.0997,Expectations Index,British Columbia,9/4/2015
54.9568,Expectations Index,British Columbia,9/11/2015
54.1152,Expectations Index,British Columbia,9/18/2015
57.3106,Expectations Index,British Columbia,9/25/2015
60.5098,Expectations Index,British Columbia,10/2/2015
60.1554,Expectations Index,British Columbia,10/9/2015
63.5563,Expectations Index,British Columbia,10/16/2015
64.0008,Expectations Index,British Columbia,10/23/2015
63.0028,Expectations Index,British Columbia,10/30/2015
66.3122,Expectations Index,British Columbia,11/6/2015
65.923,Expectations Index,British Columbia,11/13/2015
65.276,Expectations Index,British Columbia,11/20/2015
64.8653,Expectations Index,British Columbia,11/27/2015
63.7823,Expectations Index,British Columbia,12/4/2015
59.7808,Expectations Index,British Columbia,12/11/2015
58.1485,Expectations Index,British Columbia,12/18/2015
57.8848,Expectations Index,British Columbia,12/25/2015
54.3233,Expectations Index,British Columbia,1/1/2016
55.2291,Expectations Index,British Columbia,1/8/2016
55.887,Expectations Index,British Columbia,1/15/2016
56.4672,Expectations Index,British Columbia,1/22/2016
58.2122,Expectations Index,British Columbia,1/29/2016
58.99,Expectations Index,British Columbia,2/5/2016
59.0373,Expectations Index,British Columbia,2/12/2016
59.1,Expectations Index,British Columbia,2/19/2016
58.1023,Expectations Index,British Columbia,2/26/2016
58.245,Expectations Index,British Columbia,3/4/2016
59.5201,Expectations Index,British Columbia,3/11/2016
61.775,Expectations Index,British Columbia,3/18/2016
62.5748,Expectations Index,British Columbia,3/25/2016
63.7294,Expectations Index,British Columbia,4/1/2016
64.0552,Expectations Index,British Columbia,4/8/2016
63.4262,Expectations Index,British Columbia,4/15/2016
64.3811,Expectations Index,British Columbia,4/22/2016
67.5109,Expectations Index,British Columbia,4/29/2016
67.94,Expectations Index,British Columbia,5/6/2016
67.6246,Expectations Index,British Columbia,5/13/2016
69.4532,Expectations Index,British Columbia,5/20/2016
67.3883,Expectations Index,British Columbia,5/27/2016
69.0741,Expectations Index,British Columbia,6/3/2016
69.9279,Expectations Index,British Columbia,6/10/2016
69.2479,Expectations Index,British Columbia,6/17/2016
70.6482,Expectations Index,British Columbia,6/24/2016
68.5725,Expectations Index,British Columbia,6/30/2016
68.0993,Expectations Index,British Columbia,7/8/2016
67.8353,Expectations Index,British Columbia,7/15/2016
64.5484,Expectations Index,British Columbia,7/22/2016
65.6634,Expectations Index,British Columbia,7/29/2016
65.9686,Expectations Index,British Columbia,8/5/2016
64.9766,Expectations Index,British Columbia,8/12/2016
70.1292,Expectations Index,British Columbia,8/19/2016
65.8472,Expectations Index,British Columbia,8/26/2016
60.8898,Expectations Index,British Columbia,9/2/2016
55.8759,Expectations Index,British Columbia,9/9/2016
48.9044,Expectations Index,British Columbia,9/16/2016
51.5382,Expectations Index,British Columbia,9/23/2016
53.4853,Expectations Index,British Columbia,9/30/2016
57.6374,Expectations Index,British Columbia,10/7/2016
60.4827,Expectations Index,British Columbia,10/14/2016
60.0788,Expectations Index,British Columbia,10/21/2016
59.6514,Expectations Index,British Columbia,10/28/2016
58.4325,Expectations Index,British Columbia,11/4/2016
54.3983,Expectations Index,British Columbia,11/11/2016
53.6566,Expectations Index,British Columbia,11/18/2016
53.4438,Expectations Index,British Columbia,11/25/2016
54.4447,Expectations Index,British Columbia,12/2/2016
56.4287,Expectations Index,British Columbia,12/9/2016
57.2937,Expectations Index,British Columbia,12/16/2016
54.954,Expectations Index,British Columbia,12/23/2016
53.8098,Expectations Index,British Columbia,12/30/2016
51.073,Expectations Index,British Columbia,1/6/2017
51.8591,Expectations Index,British Columbia,1/13/2017
54.47,Expectations Index,British Columbia,1/20/2017
56.5789,Expectations Index,British Columbia,1/27/2017
61.5149,Expectations Index,British Columbia,2/3/2017
60.1364,Expectations Index,British Columbia,2/10/2017
61.9338,Expectations Index,British Columbia,2/17/2017
62.1272,Expectations Index,British Columbia,2/24/2017
58.9173,Expectations Index,British Columbia,3/3/2017
58.8809,Expectations Index,British Columbia,3/10/2017
55.8885,Expectations Index,British Columbia,3/17/2017
55.2729,Expectations Index,British Columbia,3/24/2017
56.9817,Expectations Index,British Columbia,3/31/2017
59.8637,Expectations Index,British Columbia,4/7/2017
64.0357,Expectations Index,British Columbia,4/13/2017
65.1276,Expectations Index,British Columbia,4/21/2017
65.9805,Expectations Index,British Columbia,4/28/2017
64.5278,Expectations Index,British Columbia,5/5/2017
63.5808,Expectations Index,British Columbia,5/12/2017
64.0729,Expectations Index,British Columbia,5/19/2017
62.979,Expectations Index,British Columbia,5/26/2017
63.4768,Expectations Index,British Columbia,6/2/2017
63.9054,Expectations Index,British Columbia,6/9/2017
63.3208,Expectations Index,British Columbia,6/16/2017
64.4316,Expectations Index,British Columbia,6/23/2017
68.4734,Expectations Index,British Columbia,6/30/2017
65.932,Expectations Index,British Columbia,7/7/2017
66.8621,Expectations Index,British Columbia,7/14/2017
66.8878,Expectations Index,British Columbia,7/21/2017
68.9797,Expectations Index,British Columbia,7/28/2017
70.162,Expectations Index,British Columbia,8/4/2017
68.9753,Expectations Index,British Columbia,8/11/2017
65.8717,Expectations Index,British Columbia,8/18/2017
63.7789,Expectations Index,British Columbia,8/25/2017
62.7757,Expectations Index,British Columbia,9/1/2017
64.4123,Expectations Index,British Columbia,9/8/2017
66.4874,Expectations Index,British Columbia,9/15/2017
66.1863,Expectations Index,British Columbia,9/22/2017
64.395,Expectations Index,British Columbia,9/29/2017
63.1129,Expectations Index,British Columbia,10/6/2017
62.6266,Expectations Index,British Columbia,10/13/2017
61.0894,Expectations Index,British Columbia,10/20/2017
57.7274,Expectations Index,British Columbia,10/27/2017
58.3573,Expectations Index,British Columbia,11/3/2017
59.5065,Expectations Index,British Columbia,11/10/2017
60.658,Expectations Index,British Columbia,11/17/2017
62.4137,Expectations Index,British Columbia,11/24/2017
64.1279,Expectations Index,British Columbia,12/1/2017
63.6582,Expectations Index,British Columbia,12/8/2017
64.5812,Expectations Index,British Columbia,12/15/2017
65.1514,Expectations Index,British Columbia,12/22/2017
65.9784,Expectations Index,British Columbia,12/29/2017
67.0241,Expectations Index,British Columbia,1/5/2018
68.8445,Expectations Index,British Columbia,1/12/2018
69.0736,Expectations Index,British Columbia,1/19/2018
67.6181,Expectations Index,British Columbia,1/26/2018
67.4794,Expectations Index,British Columbia,2/2/2018
65.3167,Expectations Index,British Columbia,2/9/2018
63.2181,Expectations Index,British Columbia,2/16/2018
62.5682,Expectations Index,British Columbia,2/23/2018
58.2185,Expectations Index,British Columbia,3/2/2018
58.5791,Expectations Index,British Columbia,3/9/2018
59.1651,Expectations Index,British Columbia,3/16/2018
55.9211,Expectations Index,British Columbia,3/23/2018
59.35,Expectations Index,British Columbia,3/29/2018
60.7734,Expectations Index,British Columbia,4/6/2018
59.693,Expectations Index,British Columbia,4/13/2018
61.6583,Expectations Index,British Columbia,4/20/2018
59.5093,Expectations Index,British Columbia,4/27/2018
58.9604,Expectations Index,British Columbia,5/4/2018
60.3531,Expectations Index,British Columbia,5/11/2018
62.7302,Expectations Index,British Columbia,5/18/2018
61.1072,Expectations Index,British Columbia,5/25/2018
65.3962,Expectations Index,British Columbia,6/1/2018
62.1862,Expectations Index,British Columbia,6/8/2018
57.3774,Expectations Index,British Columbia,6/15/2018
56.5789,Expectations Index,British Columbia,6/22/2018
53.1512,Expectations Index,British Columbia,6/29/2018
52.4899,Expectations Index,British Columbia,7/6/2018
51.4687,Expectations Index,British Columbia,7/13/2018
48.8842,Expectations Index,British Columbia,7/20/2018
48.6635,Expectations Index,British Columbia,7/27/2018
49.0995,Expectations Index,British Columbia,8/3/2018
49.0629,Expectations Index,British Columbia,8/10/2018
51.4201,Expectations Index,British Columbia,8/17/2018
50.3203,Expectations Index,British Columbia,8/24/2018
52.2965,Expectations Index,British Columbia,8/31/2018
48.8703,Expectations Index,British Columbia,9/7/2018
47.6368,Expectations Index,British Columbia,9/14/2018
48.189,Expectations Index,British Columbia,9/21/2018
47.119,Expectations Index,British Columbia,9/28/2018
51.4276,Expectations Index,British Columbia,10/5/2018
51.3986,Expectations Index,British Columbia,10/12/2018
52.5057,Expectations Index,British Columbia,10/19/2018
54.4121,Expectations Index,British Columbia,10/26/2018
55.639,Expectations Index,British Columbia,11/2/2018
56.3423,Expectations Index,British Columbia,11/9/2018
53.445,Expectations Index,British Columbia,11/16/2018
53.7072,Expectations Index,British Columbia,11/23/2018
49.7426,Expectations Index,British Columbia,11/30/2018
45.3719,Expectations Index,British Columbia,12/7/2018
43.9148,Expectations Index,British Columbia,12/14/2018
40.1691,Expectations Index,British Columbia,12/21/2018
39.9236,Expectations Index,British Columbia,12/28/2018
42.1213,Expectations Index,British Columbia,1/4/2019
40.7257,Expectations Index,British Columbia,1/11/2019
42.9986,Expectations Index,British Columbia,1/18/2019
46.7438,Expectations Index,British Columbia,1/25/2019
47.7407,Expectations Index,British Columbia,2/1/2019
49.2914,Expectations Index,British Columbia,2/8/2019
49.9349,Expectations Index,British Columbia,2/15/2019
46.5148,Expectations Index,British Columbia,2/22/2019
45.4037,Expectations Index,British Columbia,3/1/2019
46.4306,Expectations Index,British Columbia,3/8/2019
43.8923,Expectations Index,British Columbia,3/15/2019
46.4592,Expectations Index,British Columbia,3/22/2019
45.9528,Expectations Index,British Columbia,3/29/2019
45.6491,Expectations Index,British Columbia,4/5/2019
44.8263,Expectations Index,British Columbia,4/12/2019
43.9312,Expectations Index,British Columbia,4/19/2019
45.0561,Expectations Index,British Columbia,4/26/2019
46.1492,Expectations Index,British Columbia,5/3/2019
44.5269,Expectations Index,British Columbia,5/10/2019
48.6878,Expectations Index,British Columbia,5/17/2019
47.1269,Expectations Index,British Columbia,5/24/2019
46.4487,Expectations Index,British Columbia,5/31/2019
47.5274,Expectations Index,British Columbia,6/7/2019
44.2579,Expectations Index,British Columbia,6/14/2019
43.1895,Expectations Index,British Columbia,6/21/2019
46.4772,Expectations Index,British Columbia,6/28/2019
48.8855,Expectations Index,British Columbia,7/5/2019
50.8705,Expectations Index,British Columbia,7/12/2019
52.7299,Expectations Index,British Columbia,7/19/2019
52.3479,Expectations Index,British Columbia,7/26/2019
51.3797,Expectations Index,British Columbia,8/2/2019
50.164,Expectations Index,British Columbia,8/9/2019
50.7748,Expectations Index,British Columbia,8/16/2019
49.86,Expectations Index,British Columbia,8/23/2019
47.858,Expectations Index,British Columbia,8/30/2019
46.5927,Expectations Index,British Columbia,9/6/2019
46.8571,Expectations Index,British Columbia,9/13/2019
47.4868,Expectations Index,British Columbia,9/20/2019
50.8811,Expectations Index,British Columbia,9/27/2019
54.8634,Expectations Index,British Columbia,10/4/2019
54.37,Expectations Index,British Columbia,10/11/2019
53.4862,Expectations Index,British Columbia,10/18/2019
52.6946,Expectations Index,British Columbia,10/25/2019
50.4211,Expectations Index,British Columbia,11/1/2019
49.3954,Expectations Index,British Columbia,11/8/2019
48.8089,Expectations Index,British Columbia,11/15/2019
45.8415,Expectations Index,British Columbia,11/22/2019
47.5382,Expectations Index,British Columbia,11/29/2019
49.2823,Expectations Index,British Columbia,12/6/2019
48.7057,Expectations Index,British Columbia,12/13/2019
49.5662,Expectations Index,British Columbia,12/20/2019
52.5826,Expectations Index,British Columbia,12/27/2019
52.8905,Expectations Index,British Columbia,1/3/2020
54.2049,Expectations Index,British Columbia,1/10/2020
51.3588,Expectations Index,British Columbia,1/17/2020
52.4065,Expectations Index,British Columbia,1/24/2020
52.1381,Expectations Index,British Columbia,1/31/2020
54.7245,Expectations Index,British Columbia,2/7/2020
56.1901,Expectations Index,British Columbia,2/14/2020
51.2019,Expectations Index,British Columbia,2/21/2020
48.3593,Expectations Index,British Columbia,2/28/2020
46.7241,Expectations Index,British Columbia,3/6/2020
45.9574,Expectations Index,British Columbia,3/13/2020
40.6085,Expectations Index,British Columbia,3/20/2020
33.3819,Expectations Index,British Columbia,3/27/2020
29.5661,Expectations Index,British Columbia,4/3/2020
23.5348,Expectations Index,British Columbia,4/10/2020
22.0342,Expectations Index,British Columbia,4/17/2020
21.9151,Expectations Index,British Columbia,4/24/2020
21.47,Expectations Index,British Columbia,5/1/2020
25.29,Expectations Index,British Columbia,5/8/2020
24.01,Expectations Index,British Columbia,5/15/2020
27.63,Expectations Index,British Columbia,5/22/2020
26.97,Expectations Index,British Columbia,5/29/2020
28.97,Expectations Index,British Columbia,6/5/2020
33.25,Expectations Index,British Columbia,6/12/2020
36.26,Expectations Index,British Columbia,6/19/2020
38.87,Expectations Index,British Columbia,6/26/2020
38.91,Expectations Index,British Columbia,7/3/2020
39.29,Expectations Index,British Columbia,7/10/2020
40.65,Expectations Index,British Columbia,7/17/2020
41.53,Expectations Index,British Columbia,7/24/2020
43.01,Expectations Index,British Columbia,7/31/2020
44.63,Expectations Index,British Columbia,8/7/2020
46.66,Expectations Index,British Columbia,8/14/2020
48.92,Expectations Index,British Columbia,8/21/2020
48.4,Expectations Index,British Columbia,8/28/2020
47.61,Expectations Index,British Columbia,9/4/2020
48.09,Expectations Index,British Columbia,9/11/2020
49.51,Expectations Index,British Columbia,9/18/2020
52.72,Expectations Index,British Columbia,9/25/2020
52.75,Expectations Index,British Columbia,10/2/2020
52.82,Expectations Index,British Columbia,10/9/2020
48.92,Expectations Index,British Columbia,10/16/2020
49.23,Expectations Index,British Columbia,10/23/2020
50.68,Expectations Index,British Columbia,10/30/2020
50.17,Expectations Index,British Columbia,11/6/2020
51.79,Expectations Index,British Columbia,11/13/2020
54.79,Expectations Index,British Columbia,11/20/2020
46.8669,Expectations Index,Canada,6/30/2008
46.5186,Expectations Index,Canada,9/30/2008
31.3638,Expectations Index,Canada,12/31/2008
34.5727,Expectations Index,Canada,3/31/2009
51.9502,Expectations Index,Canada,6/30/2009
62.9681,Expectations Index,Canada,9/30/2009
68.7469,Expectations Index,Canada,12/31/2009
65.6482,Expectations Index,Canada,3/31/2010
62.9169,Expectations Index,Canada,6/30/2010
57.8292,Expectations Index,Canada,9/30/2010
56.4099,Expectations Index,Canada,12/31/2010
58.8545,Expectations Index,Canada,3/31/2011
57.5509,Expectations Index,Canada,6/30/2011
48.7984,Expectations Index,Canada,9/30/2011
52.9512,Expectations Index,Canada,12/31/2011
54.6764,Expectations Index,Canada,2/28/2012
57.2852,Expectations Index,Canada,3/31/2012
57.5002,Expectations Index,Canada,4/30/2012
57.1723,Expectations Index,Canada,5/31/2012
54.1566,Expectations Index,Canada,6/30/2012
52.8593,Expectations Index,Canada,7/31/2012
52.7221,Expectations Index,Canada,8/31/2012
55.3692,Expectations Index,Canada,9/30/2012
53.539,Expectations Index,Canada,10/31/2012
55.0039,Expectations Index,Canada,11/30/2012
55.6538,Expectations Index,Canada,12/31/2012
55.3712,Expectations Index,Canada,1/31/2013
52.8266,Expectations Index,Canada,2/28/2013
49.7805,Expectations Index,Canada,3/31/2013
47.0713,Expectations Index,Canada,4/30/2013
55.6777,Expectations Index,Canada,5/24/2013
56.3671,Expectations Index,Canada,5/31/2013
57.6132,Expectations Index,Canada,6/7/2013
57.5521,Expectations Index,Canada,6/14/2013
56.1918,Expectations Index,Canada,6/21/2013
56.7872,Expectations Index,Canada,6/28/2013
56.5839,Expectations Index,Canada,7/5/2013
56.445,Expectations Index,Canada,7/12/2013
55.974,Expectations Index,Canada,7/19/2013
56.1182,Expectations Index,Canada,7/26/2013
57.3066,Expectations Index,Canada,8/2/2013
57.4178,Expectations Index,Canada,8/9/2013
56.1638,Expectations Index,Canada,8/16/2013
55.7323,Expectations Index,Canada,8/23/2013
55.285,Expectations Index,Canada,8/30/2013
55.2747,Expectations Index,Canada,9/6/2013
57.0229,Expectations Index,Canada,9/13/2013
57.905,Expectations Index,Canada,9/20/2013
58.1288,Expectations Index,Canada,9/27/2013
57.3159,Expectations Index,Canada,10/4/2013
56.222,Expectations Index,Canada,10/11/2013
55.9831,Expectations Index,Canada,10/18/2013
56.6727,Expectations Index,Canada,10/25/2013
57.5112,Expectations Index,Canada,11/1/2013
57.2839,Expectations Index,Canada,11/8/2013
58.1586,Expectations Index,Canada,11/15/2013
57.6607,Expectations Index,Canada,11/22/2013
57.4618,Expectations Index,Canada,11/29/2013
57.7595,Expectations Index,Canada,12/6/2013
56.2343,Expectations Index,Canada,12/13/2013
55.938,Expectations Index,Canada,12/20/2013
56.6247,Expectations Index,Canada,12/27/2013
57.6584,Expectations Index,Canada,1/3/2014
58.1374,Expectations Index,Canada,1/10/2014
57.7562,Expectations Index,Canada,1/17/2014
56.166,Expectations Index,Canada,1/24/2014
54.3998,Expectations Index,Canada,1/31/2014
53.4822,Expectations Index,Canada,2/7/2014
54.1615,Expectations Index,Canada,2/14/2014
55.0583,Expectations Index,Canada,2/21/2014
55.9394,Expectations Index,Canada,2/28/2014
56.3461,Expectations Index,Canada,3/7/2014
55.7593,Expectations Index,Canada,3/14/2014
55.455,Expectations Index,Canada,3/21/2014
56.0605,Expectations Index,Canada,3/28/2014
56.5425,Expectations Index,Canada,4/4/2014
58.4323,Expectations Index,Canada,4/11/2014
60.0474,Expectations Index,Canada,4/18/2014
59.9495,Expectations Index,Canada,4/25/2014
59.946,Expectations Index,Canada,5/2/2014
59.7347,Expectations Index,Canada,5/9/2014
58.9543,Expectations Index,Canada,5/16/2014
59.1605,Expectations Index,Canada,5/23/2014
59.7165,Expectations Index,Canada,5/30/2014
58.6708,Expectations Index,Canada,6/6/2014
58.1136,Expectations Index,Canada,6/13/2014
58.1519,Expectations Index,Canada,6/20/2014
58.7245,Expectations Index,Canada,6/27/2014
59.7233,Expectations Index,Canada,7/4/2014
60.6861,Expectations Index,Canada,7/11/2014
60.3884,Expectations Index,Canada,7/18/2014
59.2662,Expectations Index,Canada,7/25/2014
58.0636,Expectations Index,Canada,8/1/2014
57.2473,Expectations Index,Canada,8/8/2014
57.3592,Expectations Index,Canada,8/15/2014
57.4157,Expectations Index,Canada,8/22/2014
57.5276,Expectations Index,Canada,8/29/2014
57.3835,Expectations Index,Canada,9/5/2014
57.8303,Expectations Index,Canada,9/12/2014
58.48,Expectations Index,Canada,9/19/2014
59.1857,Expectations Index,Canada,9/26/2014
58.7116,Expectations Index,Canada,10/3/2014
57.1269,Expectations Index,Canada,10/10/2014
55.7763,Expectations Index,Canada,10/17/2014
54.5318,Expectations Index,Canada,10/24/2014
54.7107,Expectations Index,Canada,10/31/2014
54.8852,Expectations Index,Canada,11/7/2014
54.8241,Expectations Index,Canada,11/14/2014
54.6972,Expectations Index,Canada,11/21/2014
55.2701,Expectations Index,Canada,11/28/2014
54.3621,Expectations Index,Canada,12/5/2014
53.5737,Expectations Index,Canada,12/12/2014
51.5948,Expectations Index,Canada,12/19/2014
49.9429,Expectations Index,Canada,12/26/2014
50.3506,Expectations Index,Canada,1/2/2015
50.5216,Expectations Index,Canada,1/9/2015
51.1131,Expectations Index,Canada,1/16/2015
49.254,Expectations Index,Canada,1/23/2015
47.1916,Expectations Index,Canada,1/30/2015
45.8731,Expectations Index,Canada,2/6/2015
45.2106,Expectations Index,Canada,2/13/2015
45.7795,Expectations Index,Canada,2/20/2015
45.9999,Expectations Index,Canada,2/27/2015
46.8222,Expectations Index,Canada,3/6/2015
48.1879,Expectations Index,Canada,3/13/2015
49.1591,Expectations Index,Canada,3/20/2015
50.3693,Expectations Index,Canada,3/27/2015
50.1277,Expectations Index,Canada,4/3/2015
50.1687,Expectations Index,Canada,4/10/2015
50.708,Expectations Index,Canada,4/17/2015
51.1734,Expectations Index,Canada,4/24/2015
51.8005,Expectations Index,Canada,5/1/2015
52.3091,Expectations Index,Canada,5/8/2015
51.8229,Expectations Index,Canada,5/15/2015
52.2343,Expectations Index,Canada,5/22/2015
52.6636,Expectations Index,Canada,5/29/2015
52.3546,Expectations Index,Canada,6/5/2015
52.9266,Expectations Index,Canada,6/12/2015
53.346,Expectations Index,Canada,6/19/2015
53.0147,Expectations Index,Canada,6/26/2015
52.9279,Expectations Index,Canada,7/3/2015
51.8425,Expectations Index,Canada,7/10/2015
50.1124,Expectations Index,Canada,7/17/2015
47.8389,Expectations Index,Canada,7/24/2015
45.873,Expectations Index,Canada,7/31/2015
45.5853,Expectations Index,Canada,8/7/2015
45.594,Expectations Index,Canada,8/14/2015
46.9904,Expectations Index,Canada,8/21/2015
47.4223,Expectations Index,Canada,8/28/2015
47.1962,Expectations Index,Canada,9/4/2015
47.7573,Expectations Index,Canada,9/11/2015
47.899,Expectations Index,Canada,9/18/2015
